Date,Mean Temp (C),Max Temp (C),Min Temp (C),Precipitation (mm),Wind Speed (km/h)
1/1/17,29,32,26,0,11
1/2/17,28,31,26,0,4
1/3/17,28,30,26,0,6
1/4/17,28,31,25,0,9
1/5/17,29,33,25,0,7
1/6/17,30,34,26,0,5
1/7/17,31,35,27,0,5
1/8/17,31,35,27,0,7
1/9/17,30,34,27,0,7
1/10/17,30,33,27,0,9
1/11/17,28,33,23,0,8
1/12/17,30,33,26,0,5
1/13/17,30,32,27,0,4
1/14/17,29,32,26,0,3
1/15/17,30,34,26,0,3
1/16/17,30,33,26,0,3
1/17/17,30,33,26,0,3
1/18/17,28,33,24,0,4
1/19/17,29,33,25,0,4
1/20/17,27,30,24,0,3
1/21/17,28,32,25,0,6
1/22/17,28,30,25,0,7
1/23/17,26,28,24,0,8
1/24/17,24,25,24,0,6
1/25/17,27,30,24,0,9
1/26/17,28,32,25,0,9
1/27/17,28,31,26,0,16
1/28/17,28,30,25,0,12
1/29/17,28,29,26,0,9
1/30/17,28,30,25,0,8
1/31/17,28,31,26,0,13
2/1/17,29,32,26,0,11
2/2/17,28,31,26,0,6
2/3/17,30,34,25,0,6
2/4/17,29,33,25,0,5
2/5/17,30,33,26,0,6
2/6/17,30,34,25,0,6
2/7/17,28,31,25,0,5
2/8/17,28,32,25,0,4
2/9/17,29,32,26,0,6
2/10/17,29,32,26,0,9
2/11/17,28,31,26,0,11
2/12/17,28,30,26,0,11
2/13/17,27,29,25,0,10
2/14/17,28,30,25,0,11
2/15/17,26,30,23,0,9
2/16/17,28,30,25,0,10
2/17/17,28,32,25,0,9
2/18/17,28,31,25,0,9
2/19/17,29,32,26,0,9
2/20/17,30,33,26,0,8
2/21/17,29,32,26,0,7
2/22/17,29,32,26,0,5
2/23/17,29,32,26,0,6
2/24/17,26,28,24,0,7
2/25/17,28,32,25,0,8
2/26/17,28,31,26,0,10
2/27/17,29,32,26,0,12
2/28/17,28,31,26,0,13
3/1/17,26,28,24,0,9
3/2/17,28,31,25,0,13
3/3/17,27,30,24,0,13
3/4/17,26,28,24,0,8
3/5/17,28,31,25,0,12
3/6/17,29,33,25,0,10
3/7/17,28,32,25,0,8
3/8/17,28,32,25,0,12
3/9/17,29,33,25,0,13
3/10/17,28,31,25,0,11
3/11/17,30,34,25,0,9
3/12/17,28,31,25,0,6
3/13/17,29,32,26,0,6
3/14/17,28,31,25,0,8
3/15/17,30,34,26,0,5
3/16/17,31,35,27,0,8
3/17/17,29,32,26,0,7
3/18/17,30,34,26,0,7
3/19/17,30,33,27,0,6
3/20/17,28,30,25,0,8
3/21/17,30,33,27,0,7
3/22/17,30,33,26,0,8
3/23/17,30,34,26,0,8
3/24/17,30,32,27,0,6
3/25/17,30,33,27,0,8
3/26/17,30,34,27,0,8
3/27/17,30,33,28,0,9
3/28/17,27,29,25,0,8
3/29/17,29,32,26,0,5
3/30/17,28,32,24,0,5
3/31/17,28,32,25,0,4
4/1/17,29,33,25,0,6
4/2/17,30,33,26,0,7
4/3/17,28,31,25,0,6
4/4/17,30,34,26,0,9
4/5/17,30,33,27,0,9
4/6/17,31,34,28,0,8
4/7/17,30,35,25,0,6
4/8/17,28,29,26,0,6
4/9/17,30,33,26,0,5
4/10/17,29,31,27,0,5
4/11/17,30,34,27,0,7
4/12/17,28,32,25,0,7
4/13/17,27,30,24,0,6
4/14/17,30,33,26,0,6
4/15/17,30,33,26,0,8
4/16/17,30,34,26,0,4
4/17/17,31,35,27,0,5
4/18/17,30,35,25,0,6
4/19/17,29,33,25,0,4
4/20/17,30,34,27,0,6
4/21/17,28,33,24,0,7
4/22/17,28,31,26,0,6
4/23/17,30,33,27,0,4
4/24/17,28,32,25,0,6
4/25/17,29,32,26,0,5
4/26/17,28,31,25,0,5
4/27/17,30,34,26,0,7
4/28/17,29,33,25,0,7
4/29/17,28,30,27,0,5
4/30/17,31,35,27,0,6
5/1/17,30,32,27,0,6
5/2/17,28,30,26,0,6
5/3/17,30,32,28,0,5
5/4/17,30,33,27,0,7
5/5/17,30,32,27,0,6
5/6/17,30,32,28,0,6
5/7/17,28,32,25,0,6
5/8/17,30,33,27,0,7
5/9/17,31,34,28,0,9
5/10/17,28,30,27,0,6
5/11/17,29,32,26,0,8
5/12/17,30,32,27,0,7
5/13/17,30,31,28,0,6
5/14/17,30,32,28,0,8
5/15/17,30,32,27,0,8
5/16/17,30,32,28,0,9
5/17/17,32,34,29,0,10
5/18/17,30,32,27,0,8
5/19/17,30,32,28,0,7
5/20/17,31,33,29,0,8
5/21/17,30,33,26,0,8
5/22/17,28,32,24,0,8
5/23/17,30,33,28,0,10
5/24/17,28,30,25,0,8
5/25/17,29,32,26,0,5
5/26/17,28,32,25,0,7
5/27/17,29,32,26,0,4
5/28/17,30,32,29,0,8
5/29/17,30,32,29,0,10
5/30/17,27,30,24,0,7
5/31/17,30,35,26,0,6
6/1/17,30,33,26,0,8
6/2/17,30,33,28,0,8
6/3/17,32,34,29,0,8
6/4/17,32,34,29,0,10
6/5/17,31,33,29,0,8
6/6/17,31,33,29,0,8
6/7/17,32,34,29,0,7
6/8/17,32,34,29,0,7
6/9/17,31,33,29,0,8
6/10/17,30,33,27,0,8
6/11/17,29,31,27,0,8
6/12/17,30,32,28,0,7
6/13/17,30,33,28,0,7
6/14/17,30,33,26,0,7
6/15/17,31,34,28,0,6
6/16/17,30,33,27,0,5
6/17/17,30,34,27,0,6
6/18/17,28,31,25,0,9
6/19/17,29,31,27,0,7
6/20/17,30,33,27,0,6
6/21/17,29,32,26,0,8
6/22/17,30,32,27,0,6
6/23/17,27,30,24,0,8
6/24/17,29,32,26,0,5
6/25/17,28,30,25,0,4
6/26/17,28,31,26,0,5
6/27/17,26,28,25,0,5
6/28/17,29,32,26,0,4
6/29/17,29,31,27,0,5
6/30/17,30,32,27,0,7
7/1/17,30,32,28,0,5
7/2/17,30,32,27,0,3
7/3/17,28,30,26,0,4
7/4/17,29,32,26,0,3
7/5/17,28,32,25,0,3
7/6/17,28,31,26,0,3
7/7/17,30,32,28,0,5
7/8/17,29,32,26,0,7
7/9/17,28,30,26,0,10
7/10/17,30,33,27,0,7
7/11/17,28,31,25,0,10
7/12/17,26,28,24,0,10
7/13/17,28,30,26,0,7
7/14/17,27,30,24,0,6
7/15/17,28,31,24,0,8
7/16/17,29,31,27,0,16
7/17/17,30,32,27,0,12
7/18/17,29,31,27,0,11
7/19/17,30,32,27,0,10
7/20/17,30,32,27,0,9
7/21/17,30,33,28,0,9
7/22/17,30,33,28,0,11
7/23/17,30,33,28,0,9
7/24/17,30,32,28,0,12
7/25/17,30,33,28,0,12
7/26/17,29,31,27,0,11
7/27/17,30,32,28,0,12
7/28/17,30,33,28,0,11
7/29/17,30,32,28,0,12
7/30/17,30,32,28,0,11
7/31/17,30,33,28,0,12
