"","event_id","primary_act_id","secondary_act_id","purch_party_lkup_id","event_name","primary_act_name","secondary_act_name","major_cat_name","minor_cat_name","la_event_type_cat","event_disp_name","ticket_text","tickets_purchased_qty","trans_face_val_amt","delivery_type_cd","event_date_time","event_dt","presale_dt","onsale_dt","sales_ord_create_dttm","sales_ord_tran_dt","print_dt","timezn_nm","venue_city","venue_state","venue_postal_cd_sgmt_1","sales_platform_cd","print_flg","la_valid_tkt_event_flg","fin_mkt_nm","web_session_cookie_val","gndr_cd","age_yr","income_amt","edu_val","edu_1st_indv_val","edu_2nd_indv_val","adults_in_hh_num","married_ind","child_present_ind","home_owner_ind","occpn_val","occpn_1st_val","occpn_2nd_val","dist_to_ven"
"1","abcaf1adb99a935fc661","43f0436b905bfa7c2eec","b85143bf51323b72e53c","7dfa56dd7d5956b17587","Xfinity Center Mansfield Premier Parking: Florida Georgia Line","XFINITY Center Mansfield Premier Parking","NULL","MISC","PARKING","PARKING","Xfinity Center Mansfield Premier Parking: Florida Georgia Line","   THIS TICKET IS VALID        FOR PARKING ONLY         GOOD THIS DAY ONLY       PREMIER PARKING PASS    XFINITY CENTER,LOTS 4 PM  SAT SEP 12 2015 7:30 PM  ",1,45,"eTicket","2015-09-12 23:30:00","2015-09-12","NULL","2015-05-15","2015-09-11 18:17:45","2015-09-11","2015-09-12","EST","MANSFIELD","MASSACHUSETTS","02048","www.concerts.livenation.com","T ","N ","Boston","7dfa56dd7d5956b17587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","6c56d7f08c95f2aa453c","1a3e9aecd0617706a794","f53529c5679ea6ca5a48","4f9e6fc637eaf7b736c2","Gorge Camping - dave matthews band - sept 3-7","Gorge Camping","Dave Matthews Band","MISC","CAMPING","INVALID","Gorge Camping - dave matthews band - sept 3-7","%OVERNIGHT C A M P I N G%* * * * * *%GORGE CAMPGROUND%* GOOD THIS DATE ONLY *%SEP 3 - 6, 2009",1,75,"TicketFast","2009-09-05 01:00:00","2009-09-04","NULL","2009-03-13","2009-07-06 00:00:00","2009-07-05","2009-09-01","PST","QUINCY","WASHINGTON","98848","NULL","T ","N ","Seattle","4f9e6fc637eaf7b736c2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59"
"3","c7ab4524a121f9d687d2","4b677c3f5bec71eec8d1","b85143bf51323b72e53c","6c2545703bd527a7144d","Dodge Theatre Adams Street Parking - benise","Parking Event","NULL","MISC","PARKING","PARKING","Dodge Theatre Adams Street Parking - benise","ADAMS STREET GARAGE%PARKING FOR 4/21/06 ONLY%DODGE THEATRE PARKING PASS%ENTRANCE ON ADAMS STREET%BENISE%GARAGE OPENS AT 6:00PM",1,5,"TicketFast","2006-04-22 01:30:00","2006-04-21","NULL","2006-02-25","2006-04-05 00:00:00","2006-04-05","2006-04-05","MST","PHOENIX","ARIZONA","85003","NULL","T ","N ","Arizona","6c2545703bd527a7144d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","394cb493f893be9b9ed1","b1ccea01ad6ef8522796","b85143bf51323b72e53c","527d6b1eaffc69ddd882","Gexa Energy Pavilion Vip Parking : kid rock with sheryl crow","Gexa Energy Pavilion VIP Parking","NULL","MISC","PARKING","PARKING","Gexa Energy Pavilion Vip Parking : kid rock with sheryl crow","   THIS TICKET IS VALID        FOR PARKING ONLY      GOOD FOR THIS DATE ONLY       VIP PARKING PASS        GEXA ENERGY PAVILION    FRI SEP 02 2011 7:00 PM  ",1,20,"Mail","2011-09-03 00:00:00","2011-09-02","NULL","2011-04-22","2011-07-01 17:38:50","2011-07-01","2011-07-06","CST","DALLAS","TEXAS","75210","NULL","T ","N ","Dallas","527d6b1eaffc69ddd882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","55b5f67e618557929f48","91c03a34b562436efa3c","b85143bf51323b72e53c","8bd62c394a35213bdf52","Premier Parking - motley crue","White River Amphitheatre Premier Parking","NULL","MISC","PARKING","PARKING","Premier Parking - motley crue","THIS TICKET IS VALID%FOR PARKING ONLY%GOOD THIS DATE ONLY%PREMIER PARKING PASS%WHITE RIVER AMPHITHEATRE%SAT JUL 30, 2005 6:00PM",1,20,"Mail","2005-07-31 01:00:00","2005-07-30","2005-03-02","2005-03-04","2005-06-18 00:00:00","2005-06-18","2005-06-28","PST","AUBURN","WASHINGTON","98092","NULL","T ","N ","Seattle","8bd62c394a35213bdf52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","4f10fd8b9f550352bd56","ac4b847b3fde66f2117e","63814f3d63317f1b56c4","3b3a628f83135acd0676","Fast Lane Access: Journey","Fast Lane Access","Journey","MISC","SPECIAL ENTRY (UPSELL)","UPSELL","Fast Lane Access: Journey","        FAST LANE                  JOURNEY               FAST LANE EVENT         THIS IS NOT A TICKET    SAN MANUEL AMPHITHEATER   SAT JUL 21 2012 7:00 PM  ",2,10,"TicketFast","2012-07-22 02:00:00","2012-07-21","NULL","2012-04-11","2012-07-21 17:20:18","2012-07-21","2012-07-21","PST","SAN BERNARDINO","CALIFORNIA","92407","www.livenation.com","T ","N ","Los Angeles","3b3a628f83135acd0676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","105ea9ee10065b54b0df","a14232befff04be1e2f3","b85143bf51323b72e53c","14af02b72584fa823f85","Phil Lesh & friends-pnc bank arts center holmdel premier parking","PNC Bank Arts Center Holmdel Premier Parking","NULL","MISC","PARKING","PARKING","Phil Lesh & friends-pnc bank arts center holmdel premier parking","THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%PNC BANK ARTS CENTER%SAT JUL 1, 2006 4:30PM",1,30,"TicketFast","2006-07-01 20:30:00","2006-07-01","NULL","2006-05-12","2006-06-16 00:00:00","2006-06-16","2006-06-16","EST","HOLMDEL","NEW JERSEY","07733","NULL","T ","N ","New York","14af02b72584fa823f85","M","28","112500","High School","High School","NULL","4","0","1","0","NULL","Craftsman Blue Collar","NULL",NA
"8","593b910d17913d7101cb","91c03a34b562436efa3c","b85143bf51323b72e53c","c7878d51bb2d62d4705c","Star Parking Presented By Hertz: Train -  white river amp","White River Amphitheatre Premier Parking","NULL","MISC","PARKING","PARKING","Star Parking Presented By Hertz: Train -  white river amp"," THIS TICKET IS VALID FOR   PARKING THIS DATE ONLY      STAR PARKING PASS      WHITE RIVER AMPHITHEATRE    ENTER LOTS AT GATE 2    WED AUG 14 2013 7:30 PM  ",1,28,"Mail","2013-08-15 02:00:00","2013-08-14","NULL","2013-02-16","2013-02-27 18:48:23","2013-02-27","2013-03-04","PST","AUBURN","WASHINGTON","98092","www.concerts.livenation.com","T ","N ","Seattle","c7878d51bb2d62d4705c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","0fb4e7152e09a40ffedd","0efaba7ce3f0d7466b42","f66a1cf484a8cd868fb4","ec216826c73d9a3f6f9c","Brad Paisley: Hertz Premier Parking","Hertz Premier Parking","Brad Paisley","MISC","PARKING","PARKING","Brad Paisley: Hertz Premier Parking","  HERTZ PREMIER PARKING          BRAD PAISLEY           NOT A SHOW TICKET     ASHLEY HOMESTORE PAVILION      REDEEM AT GATE 7      WED OCT 17 2012 7:00 PM  ",1,20,"TicketFast","2012-10-18 02:00:00","2012-10-17","NULL","2012-08-18","2012-08-20 17:57:39","2012-08-20","2012-08-20","MST","PHOENIX","ARIZONA","85035","www.livenation.com","T ","N ","Arizona","ec216826c73d9a3f6f9c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","93fce8094d89e0a94aac","f6425a3223e73ea6de5a","d8c54467eb14c7dd1476","97a3efbab1bfcc0a6093","Shlohmo","Shlohmo","Purple","CONCERTS","DANCE MUSIC/DANCE","CONCERTS","Shlohmo","       *** *** ***               THE FILLMORE            1805 GEARY BLVD               SHLOHMO           OPEN DANCE FLOOR/DRS 7PM  THU APR 30 2015 8:00 PM  ",1,25,"eTicket","2015-05-01 03:00:00","2015-04-30","NULL","2014-12-12","2015-04-28 07:07:40","2015-04-27","2015-04-30","PST","SAN FRANCISCO","CALIFORNIA","94115","mobile.livenation.us","T ","Y ","N. California","97a3efbab1bfcc0a6093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","402bebb1d89c4024047a","8f53c0b7cd7810a1829d","b85143bf51323b72e53c","4e4d22890318dae96e6d","Cricket Pavilion Premier Parking: Earth Wind And Fire With Chris Botti","Cricket Pavilion Phx. Premier Parking","NULL","MISC","PARKING","PARKING","Cricket Pavilion Premier Parking: Earth Wind And Fire With Chris Botti","GOOD FOR PARKING ONLY%PREMIER PARKING PASS%ENTER OFF 79TH AVENUE%CRICKET PAVILION%GOOD THIS DATE ONLY%SAT AUG 26 2006 8:00 PM",1,20,"TicketFast","2006-08-27 02:00:00","2006-08-26","NULL","2006-06-12","2006-08-06 00:00:00","2006-08-06","2006-08-06","MST","PHOENIX","ARIZONA","85035","NULL","T ","N ","Arizona","4e4d22890318dae96e6d","M","80","200000","High School","High School","High School","2","1","NULL","1","Retired","Retired","Retired",NA
"12","6adcf8b2dc8a761b22b7","094156ef72361776c8ee","b148517112c348d23c90","aacf83f268bd967f98e7","Blake Shelton: Presented By Gildan","Blake Shelton","Chris Janson","CONCERTS","COUNTRY","CONCERTS","Blake Shelton: Presented By Gildan","   PRESENTED BY GILDAN          Blake Shelton              * * * * * *         THE PALACE-AUBURN HILLS         * * * * * *         SAT FEB 20 2016 7:30 PM  ",2,90,"eTicket","2016-02-21 00:30:00","2016-02-20","2015-12-09","2015-12-11","2015-12-09 15:08:33","2015-12-09","2015-12-09","EST","AUBURN HILLS","MICHIGAN","48326","www.ticketmaster.com","T ","Y ","Michigan","aacf83f268bd967f98e7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
