date,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
7/1/13,0.84,0,0,77,72,3.1
7/2/13,0.08,0,0,82,72,2.7
7/3/13,0.53,0,0,83,73,4.3
7/4/13,0,0,0,87,75,4.3
7/5/13,0,0,0,90,76,4.9
7/6/13,0,0,0,92,78,4.5
7/7/13,0,0,0,92,78,4.3
7/8/13,0.22,0,0,89,73,4.7
7/9/13,0.23,0,0,88,74,3.1
7/10/13,0,0,0,85,75,4.3
7/11/13,0,0,0,84,76,3.8
7/12/13,0.25,0,0,77,68,9.6
7/13/13,0.06,0,0,81,67,5.4
7/14/13,0,0,0,90,74,4
7/15/13,0,0,0,94,78,3.6
7/16/13,0,0,0,94,77,4.7
7/17/13,0,0,0,97,79,3.4
7/18/13,0,0,0,98,81,3.8
7/19/13,0,0,0,96,83,5.1
7/20/13,0,0,0,93,81,5.8
7/21/13,0,0,0,89,76,4.7
7/22/13,0.06,0,0,86,75,4.9
7/23/13,0.31,0,0,87,73,4.3
7/24/13,0,0,0,83,68,4.5
7/25/13,0.01,0,0,68,64,8.9
7/26/13,0,0,0,83,65,5.1
7/27/13,0,0,0,82,70,3.4
7/28/13,0.24,0,0,78,70,2
7/29/13,0.01,0,0,85,69,3.8
7/30/13,0,0,0,83,67,4
7/31/13,0,0,0,83,67,2.9
8/1/13,0.65,0,0,76,66,2.9
8/2/13,0,0,0,83,67,4.5
8/3/13,0.06,0,0,78,68,3.4
8/4/13,0,0,0,80,66,5.1
8/5/13,0,0,0,78,62,3.4
8/6/13,0,0,0,82,64,2.7
8/7/13,0,0,0,80,70,5.1
8/8/13,0.46,0,0,81,70,4.5
8/9/13,0.05,0,0,85,74,4.3
8/10/13,0,0,0,83,70,4.9
8/11/13,0,0,0,81,65,2.5
8/12/13,0.05,0,0,82,70,2
8/13/13,0.85,0,0,77,68,2.7
8/14/13,0,0,0,74,61,6.5
8/15/13,0,0,0,78,59,3.6
8/16/13,0,0,0,82,64,2
8/17/13,0,0,0,84,64,2
8/18/13,0,0,0,76,68,2.9
8/19/13,0,0,0,79,66,3.4
8/20/13,0,0,0,88,68,2.9
8/21/13,0,0,0,90,72,2.5
8/22/13,0.25,0,0,78,71,3.8
8/23/13,0,0,0,82,71,5.6
8/24/13,0,0,0,80,65,4.9
