"","contair","Intrsc","ppub","islcal","cobarb","pop10","morta","pbranc","pparda","noenrg","noagpt","norrss","nosane","hphog","dnspop","ppoprl","ppopmd","alfa"
"ARUJA",15.08620696,90.51767826,9.220229197,-1.768500367,46.57128777,74905,0.133502436,0.570442561,0.354729324,0.005598059,0.070022392,0.007044225,0.000326553,3.48,708.1916326,0.257406803,0.397284561,93.61
"BARUERI",17.90714298,327.7362278,3.973918002,1.8527153,6.25232054,112726,0.106452815,0.561946667,0.370872736,0.010002925,0.009447207,0.000233987,0.000263235,3.29,3136.196436,0.216555478,0.391736891,94.6
"ALDEIA",16.6875,174.5850752,17.01961106,1.168518367,16.40763738,44843,0.156100172,0.515554267,0.406351047,0.001902443,0.007838064,0.001521954,0.000913173,3.41,3637.973293,0.226840222,0.432138236,94.28
"JARDIM BELVAL",17.84117654,133.2580828,0.743122087,0.798888333,27.42145873,24231,0.041269448,0.554455037,0.385704263,0.005726257,0.009636872,0.003072626,0.000837989,3.38,1229.6179,0.233025985,0.37007544,94.48
"JARDIM SILVEIRA",16.57999954,424.5239409,6.334432804,0.988336367,8.980859209,58949,0.101782897,0.467946869,0.447318869,0.001849818,0.002023238,0.000346841,0.000924909,3.41,13129.72812,0.259494768,0.404185213,93.14
"BIRITIBA MIRIM",14.52892857,15.14476643,38.78735405,-0.3968037,73.0551429,28575,0.384951881,0.626246719,0.279020122,0.022261905,0.344285714,0.055119048,0.004642857,3.4,81.96244331,0.320833333,0.315357143,90.67
"CAIEIRAS",14.8247059,75.67700057,2.977896053,0.275740967,66.18987069,86529,0.184909106,0.608246946,0.325659605,0.009838259,0.035889969,0.002400535,0.000983826,3.4,812.4386082,0.193411265,0.479316724,94.63
"CAJAMAR",15.68000005,20.31553289,0.254120445,-0.421269167,66.98563245,11589,0.172577444,0.517559755,0.417637415,0.01377895,0.299912049,0.018176488,0.004690707,3.39,124.1754803,0.328935796,0.326883612,90.98
"JORDANESIA",15.93214287,48.95986927,0,-0.550237833,57.96931244,25341,0.118385226,0.593662444,0.352709049,0.014137976,0.073438932,0.011781647,0.000261814,3.31,686.9834148,0.214014407,0.45199738,94.8
"POLVILHO",16.81818164,238.2488618,2.387971209,-0.1799996,21.65918175,27184,0.404649794,0.501324308,0.420541495,0.003041733,0.023360506,0.004745103,0.000973354,3.3,2065.228654,0.2434899,0.430275006,93.96
"CARAPICUIBA",17.47999992,583.9498973,1.131489194,2.3284622,0.246765829,230112,0.147754137,0.537620811,0.373370359,0.022168703,0.013623306,0.004207411,0.000609349,3.33,13717.21915,0.238529847,0.448736179,93.76
"ALDEIA DE CARAPICUIBA",17.01666673,270.2954675,4.567688191,2.134442667,13.29903346,32058,0.155967309,0.526795184,0.395252355,0.00452099,0.009580194,0.001829925,0.000322928,3.45,4979.960976,0.286683174,0.361287544,93.89
"VILA DIRCE",16.30909079,358.210558,11.4295711,1.3494441,13.7909718,107414,0.167575921,0.471027985,0.43999851,0.041973927,0.034072952,0.008658151,0.000526732,3.53,7523.82262,0.265111836,0.374839411,93.13
