Date,Visibility (km)
2017/1/1,9.6
2017/1/2,8.7
2017/1/3,9.4
2017/1/4,9.7
2017/1/5,10.0
2017/1/6,10.0
2017/1/7,10.0
2017/1/8,10.0
2017/1/9,10.0
2017/1/10,8.2
2017/1/11,9.1
2017/1/12,9.8
2017/1/13,9.1
2017/1/14,10.0
2017/1/15,10.0
2017/1/16,10.0
2017/1/17,10.0
2017/1/18,7.8
2017/1/19,8.1
2017/1/20,8.8
2017/1/21,7.9
2017/1/22,9.1
2017/1/23,6.9
2017/1/24,9.6
2017/1/25,9.7
2017/1/26,9.9
2017/1/27,9.8
2017/1/28,8.4
2017/1/29,10.0
2017/1/30,9.1
2017/1/31,10.0
2017/2/1,10.0
2017/2/2,9.2
2017/2/3,8.1
2017/2/4,9.2
2017/2/5,9.8
2017/2/6,9.5
2017/2/7,7.6
2017/2/8,8.9
2017/2/9,9.9
2017/2/10,10.0
2017/2/11,10.0
2017/2/12,8.9
2017/2/13,9.5
2017/2/14,9.7
2017/2/15,8.9
2017/2/16,10.0
2017/2/17,10.0
2017/2/18,9.8
2017/2/19,9.8
2017/2/20,9.7
2017/2/21,9.1
2017/2/22,9.9
2017/2/23,8.3
2017/2/24,8.3
2017/2/25,9.5
2017/2/26,9.8
2017/2/27,10.0
2017/2/28,9.8
2017/3/1,9.1
2017/3/2,9.9
2017/3/3,8.3
2017/3/4,7.5
2017/3/5,9.5
2017/3/6,7.9
2017/3/7,10.0
2017/3/8,10.0
2017/3/9,9.8
2017/3/10,9.9
2017/3/11,9.6
2017/3/12,9.9
2017/3/13,8.0
2017/3/14,9.0
2017/3/15,10.0
2017/3/16,10.0
2017/3/17,7.7
2017/3/18,9.4
2017/3/19,9.9
2017/3/20,8.7
2017/3/21,9.1
2017/3/22,9.4
2017/3/23,9.6
2017/3/24,9.6
2017/3/25,9.0
2017/3/26,9.3
2017/3/27,10.0
2017/3/28,8.8
2017/3/29,9.2
2017/3/30,7.9
2017/3/31,8.6
2017/4/1,9.6
2017/4/2,9.9
2017/4/3,9.7
2017/4/4,9.9
2017/4/5,10.0
2017/4/6,10.0
2017/4/7,10.0
2017/4/8,9.1
2017/4/9,8.0
2017/4/10,9.4
2017/4/11,9.4
2017/4/12,9.3
2017/4/13,8.8
2017/4/14,9.7
2017/4/15,9.6
2017/4/16,9.7
2017/4/17,9.8
2017/4/18,8.2
2017/4/19,9.9
2017/4/20,6.5
2017/4/21,7.5
2017/4/22,9.1
2017/4/23,9.7
2017/4/24,8.8
2017/4/25,7.2
2017/4/26,7.7
2017/4/27,8.6
2017/4/28,10.0
2017/4/29,9.8
2017/4/30,9.7
2017/5/1,10.0
2017/5/2,8.9
2017/5/3,10.0
2017/5/4,9.2
2017/5/5,9.0
2017/5/6,9.8
2017/5/7,8.0
2017/5/8,9.9
2017/5/9,10.0
2017/5/10,8.6
2017/5/11,10.0
2017/5/12,8.1
2017/5/13,9.9
2017/5/14,10.0
2017/5/15,8.2
2017/5/16,9.6
2017/5/17,10.0
2017/5/18,9.0
2017/5/19,10.0
2017/5/20,10.0
2017/5/21,8.8
2017/5/22,8.8
2017/5/23,10.0
2017/5/24,8.3
2017/5/25,9.7
2017/5/26,7.9
2017/5/27,9.7
2017/5/28,10.0
2017/5/29,9.9
2017/5/30,8.4
2017/5/31,8.3
2017/6/1,10.0
2017/6/2,10.0
2017/6/3,10.0
2017/6/4,10.0
2017/6/5,10.0
2017/6/6,10.0
2017/6/7,9.9
2017/6/8,10.0
2017/6/9,10.0
2017/6/10,9.9
2017/6/11,10.0
2017/6/12,10.0
2017/6/13,10.0
2017/6/14,9.6
2017/6/15,10.0
2017/6/16,9.7
2017/6/17,10.0
2017/6/18,7.4
2017/6/19,10.0
2017/6/20,10.0
2017/6/21,8.8
2017/6/22,9.9
2017/6/23,8.6
2017/6/24,10.0
2017/6/25,8.7
2017/6/26,9.3
2017/6/27,10.0
2017/6/28,9.4
2017/6/29,9.8
2017/6/30,10.0
2017/7/1,10.0
2017/7/2,10.0
2017/7/3,9.8
2017/7/4,10.0
2017/7/5,8.0
2017/7/6,10.0
2017/7/7,10.0
2017/7/8,9.9
2017/7/9,9.8
2017/7/10,10.0
2017/7/11,9.0
2017/7/12,9.8
2017/7/13,8.8
2017/7/14,8.1
2017/7/15,8.8
2017/7/16,10.0
2017/7/17,10.0
2017/7/18,9.9
2017/7/19,10.0
2017/7/20,10.0
2017/7/21,10.0
2017/7/22,10.0
2017/7/23,10.0
2017/7/24,10.0
2017/7/25,10.0
2017/7/26,9.1
2017/7/27,10.0
2017/7/28,10.0
2017/7/29,10.0
2017/7/30,10.0
2017/7/31,10.0
2017/8/1,9.9
2017/8/2,10.0
2017/8/3,10.0
2017/8/4,10.0
2017/8/5,10.0
2017/8/6,8.8
2017/8/7,9.7
2017/8/8,9.9
2017/8/9,10.0
2017/8/10,10.0
2017/8/11,9.8
2017/8/12,9.8
2017/8/13,10.0
2017/8/14,9.4
2017/8/15,10.0
2017/8/16,10.0
2017/8/17,8.0
2017/8/18,8.6
2017/8/19,10.0
2017/8/20,10.0
2017/8/21,10.0
2017/8/22,9.8
2017/8/23,10.0
2017/8/24,10.0
2017/8/25,10.0
2017/8/26,10.0
2017/8/27,9.8
2017/8/28,10.0
2017/8/29,9.4
2017/8/30,10.0
2017/8/31,10.0
2017/9/1,10.0
2017/9/2,10.0
2017/9/3,10.0
2017/9/4,10.0
2017/9/5,9.3
2017/9/6,8.5
2017/9/7,10.0
2017/9/8,10.0
2017/9/9,9.5
2017/9/10,9.2
2017/9/11,8.8
2017/9/12,8.9
2017/9/13,9.8
2017/9/14,9.8
2017/9/15,9.4
2017/9/16,9.4
2017/9/17,9.9
2017/9/18,8.5
2017/9/19,8.5
2017/9/20,9.0
2017/9/21,9.4
2017/9/22,10.0
2017/9/23,9.7
2017/9/24,9.4
2017/9/25,9.8
2017/9/26,9.4
2017/9/27,8.7
2017/9/28,10.0
2017/9/29,8.4
2017/9/30,9.8
2017/10/1,9.1
2017/10/2,9.2
2017/10/3,8.2
2017/10/4,9.3
2017/10/5,10.0
2017/10/6,9.5
2017/10/7,8.2
2017/10/8,8.4
2017/10/9,8.7
2017/10/10,9.0
2017/10/11,9.8
2017/10/12,8.7
2017/10/13,10.0
2017/10/14,10.0
2017/10/15,9.7
2017/10/16,10.0
2017/10/17,10.0
2017/10/18,10.0
2017/10/19,9.5
2017/10/20,9.3
2017/10/21,9.7
2017/10/22,9.4
2017/10/23,9.2
2017/10/24,7.6
2017/10/25,7.5
2017/10/26,8.6
2017/10/27,8.5
2017/10/28,9.7
2017/10/29,8.7
2017/10/30,9.8
2017/10/31,9.3
2017/11/1,9.2
2017/11/2,10.0
2017/11/3,9.2
2017/11/4,9.6
2017/11/5,10.0
2017/11/6,8.0
2017/11/7,9.0
2017/11/8,9.6
2017/11/9,8.9
2017/11/10,9.1
2017/11/11,9.4
2017/11/12,9.5
2017/11/13,9.8
2017/11/14,8.1
2017/11/15,10.0
2017/11/16,9.0
2017/11/17,9.4
2017/11/18,9.1
2017/11/19,10.0
2017/11/20,9.7
2017/11/21,8.3
2017/11/22,9.8
2017/11/23,9.1
2017/11/24,9.5
2017/11/25,10.0
2017/11/26,9.1
